6.400000000000000133e-01,1.785940769864925171e-01,8.683758011567923596e-01,1.110223024625156540e-16,5.395267883243263229e-01,1.160000000000000000e+02
9.499999999999999556e-01,1.392367937091762709e-01,5.194427075191496712e-01,9.231932316628499446e-02,6.679818647056529057e-01,1.170000000000000000e+02
7.466666666666667007e-01,4.786210286004186076e-01,9.326442082226045205e-01,1.322144019641181556e-01,6.809398872363009447e-01,1.180000000000000000e+02
7.633333333333333082e-01,1.657286448094362763e-01,8.982270335052888743e-01,1.481803464153349514e-01,6.229507431562618658e-01,1.190000000000000000e+02
8.666666666666666963e-01,7.165641448411440573e-01,9.446615601062999801e-01,2.614101272698887701e-01,8.096728340602230567e-01,1.200000000000000000e+02
8.333333333333332593e-01,7.594806265457547390e-02,2.657495701109895414e-01,3.308049376696201582e-01,5.642883991573433011e-01,1.210000000000000000e+02
8.966666666666667229e-01,1.621932272179593126e-01,5.758493564691782307e-01,3.641782633894296017e-01,6.666554542182301368e-01,1.220000000000000000e+02
8.633333333333332860e-01,3.145411884076354525e-02,3.801130738366942929e-01,3.755220931202402079e-01,5.924308457784425164e-01,1.230000000000000000e+02
7.233333333333333837e-01,9.639958145728963479e-02,4.997329477359179206e-01,5.608370812829215346e-01,5.526573105623493465e-01,1.240000000000000000e+02
8.433333333333332682e-01,5.903196144333822115e-02,2.689086029909853459e-01,5.905560224898361854e-01,5.834346966630623577e-01,1.250000000000000000e+02
9.100000000000000311e-01,2.533213900691230203e-01,5.438095982491792935e-01,6.012149558693640206e-01,7.031680211685995552e-01,1.260000000000000000e+02
1.766666666666666385e-01,4.097279472382523435e-01,1.000000000000000000e+00,6.396734097679800390e-01,3.740309309764293655e-01,1.270000000000000000e+02
9.666666666666666741e-01,2.914737776650391798e-02,4.276418633734563324e-01,6.416468308707006241e-01,6.762453918032649280e-01,1.280000000000000000e+02
8.333333333333332593e-01,1.000000000000000000e+00,3.728114741284977440e-01,7.388999741225734663e-01,7.937233123358522491e-01,1.290000000000000000e+02
